option_type,method,n_paths,repetitions,analytical_price,mean_price,bias,mean_absolute_error,mean_relative_error,rmse,empirical_variance,empirical_std,mean_price_ci_lower,mean_price_ci_upper,mean_reported_std_error,mean_estimator_variance,coverage_rate,median_runtime_seconds,runtime_q1_seconds,runtime_q3_seconds,empirical_vrr,empirical_efficiency_ratio,rmse_convergence_slope
call,antithetic,100000.0,30.0,10.450583572185565,10.450471720241293,-0.00011185194427199008,0.02961183013334523,0.0028335097201803838,0.040251064532588914,0.0016760024329129646,0.04093900869480067,10.435821884125852,10.465121556356733,0.032864447927172295,0.0010801167834953067,0.8333333333333334,0.0011969500010309275,0.0011775500006478978,0.0012364749973130529,1.4662475366745975,2.436000911513269,-0.45571240511397304
call,control_variate,100000.0,30.0,10.450583572185565,10.44868459624991,-0.0018989759356546898,0.01052314877921976,0.0010069436511877987,0.0133388393687101,0.00018032950975867441,0.013428682353778214,10.443879203984656,10.453489988515164,0.017742901347788262,0.0003148138184287318,0.9666666666666667,0.0032119500010594493,0.0031700500012448174,0.0032876500008569565,13.62746697425132,8.266151030196717,-0.4906477226914035
call,stratified,100000.0,30.0,10.450583572185565,10.44991981553684,-0.000663756648725311,0.01076415736803978,0.001030005386176596,0.012530133581383216,0.0001619624220812913,0.012726445775678743,10.445365715403746,10.454473915669933,0.012944809884343319,0.00016759290339784166,0.9666666666666667,0.005013250000047265,0.0046828999984427355,0.005293174998769246,15.1728679229423,6.001743531661509,-0.49540392519454096
call,sobol,100000.0,30.0,10.450583572185565,10.450442073038484,-0.00014149914708028177,0.0006364182588640096,6.089786799637193e-05,0.0007391853971172825,5.445238372626607e-07,0.0007379185844404928,10.450178012264342,10.450706133812627,0.0006575912962768508,4.703184458303733e-07,0.9,0.005038700001023244,0.004749649999212124,0.005266424999717856,4512.996990311519,1715.8643000873412,-0.9366655303777935
put,antithetic,100000.0,30.0,5.573526022256971,5.5737667269725195,0.0002407047155488229,0.018085260080521484,0.0032448507476776703,0.024257711754917685,0.0006086675594737078,0.02467118885408054,5.564938255424031,5.582595198521008,0.02094668647495364,0.0004387711462649003,0.8666666666666667,0.002115600000252016,0.0019658500004879897,0.002241625001261127,0.8340586116284813,1.334313209189152,-0.4652757979305742
put,control_variate,100000.0,30.0,5.573526022256971,5.571627046321312,-0.0018989759356591307,0.010523148779220856,0.0018880595043780847,0.01333883936871099,0.00018032950975868143,0.013428682353778476,5.566821654056057,5.576432438586566,0.017742901347788262,0.0003148138184287318,0.9666666666666667,0.005367050000131712,0.005157175000931602,0.005509499999789114,2.8152043460734624,1.739479358780439,-0.4906477226913975
put,stratified,100000.0,30.0,5.573526022256971,5.572372935478248,-0.0011530867787223897,0.005283767074786757,0.0009480115556448273,0.006544649330499932,4.293395766201856e-05,0.00655240090821819,5.570028188926526,5.574717682029971,0.006157140816368145,3.791283839560342e-05,0.9666666666666667,0.008806199999526143,0.00867255000048317,0.009178049998809001,11.82430987598055,4.403821409861238,-0.4863190933200747
put,sobol,100000.0,30.0,5.573526022256971,5.57335566313799,-0.00017035911898055645,0.0002287577379441963,4.104362965754343e-05,0.00030483964944676313,6.610860253972206e-08,0.00025711593210013664,5.573263655383332,5.573447670892648,0.0002825332308911885,8.335264714519075e-08,0.9333333333333333,0.010122350000528968,0.009912850000546314,0.010659349999514234,7679.24899475679,1765.9026133864697,-0.9666215937520628
