series,seed,simulations,bin_left,bin_right,count
terminal_stock,42,100000,42.834646338528145,46.230040020737526,2
terminal_stock,42,100000,46.230040020737526,49.625433702946914,7
terminal_stock,42,100000,49.625433702946914,53.020827385156295,45
terminal_stock,42,100000,53.020827385156295,56.41622106736568,100
terminal_stock,42,100000,56.41622106736568,59.811614749575064,205
terminal_stock,42,100000,59.811614749575064,63.207008431784445,403
terminal_stock,42,100000,63.207008431784445,66.60240211399383,721
terminal_stock,42,100000,66.60240211399383,69.9977957962032,1203
terminal_stock,42,100000,69.9977957962032,73.3931894784126,1903
terminal_stock,42,100000,73.3931894784126,76.78858316062198,2617
terminal_stock,42,100000,76.78858316062198,80.18397684283136,3449
terminal_stock,42,100000,80.18397684283136,83.57937052504074,4196
terminal_stock,42,100000,83.57937052504074,86.97476420725013,5041
terminal_stock,42,100000,86.97476420725013,90.3701578894595,5830
terminal_stock,42,100000,90.3701578894595,93.76555157166891,6256
terminal_stock,42,100000,93.76555157166891,97.16094525387828,6563
terminal_stock,42,100000,97.16094525387828,100.55633893608766,6802
terminal_stock,42,100000,100.55633893608766,103.95173261829706,6807
terminal_stock,42,100000,103.95173261829706,107.34712630050643,6225
terminal_stock,42,100000,107.34712630050643,110.74251998271582,5859
terminal_stock,42,100000,110.74251998271582,114.1379136649252,5564
terminal_stock,42,100000,114.1379136649252,117.53330734713458,4833
terminal_stock,42,100000,117.53330734713458,120.92870102934397,4218
terminal_stock,42,100000,120.92870102934397,124.32409471155334,3772
terminal_stock,42,100000,124.32409471155334,127.71948839376273,3219
terminal_stock,42,100000,127.71948839376273,131.1148820759721,2741
terminal_stock,42,100000,131.1148820759721,134.5102757581815,2234
terminal_stock,42,100000,134.5102757581815,137.90566944039088,1880
terminal_stock,42,100000,137.90566944039088,141.30106312260028,1569
terminal_stock,42,100000,141.30106312260028,144.69645680480966,1175
terminal_stock,42,100000,144.69645680480966,148.09185048701903,990
terminal_stock,42,100000,148.09185048701903,151.4872441692284,801
terminal_stock,42,100000,151.4872441692284,154.8826378514378,643
terminal_stock,42,100000,154.8826378514378,158.27803153364718,498
terminal_stock,42,100000,158.27803153364718,161.67342521585658,375
terminal_stock,42,100000,161.67342521585658,165.06881889806596,286
terminal_stock,42,100000,165.06881889806596,168.46421258027533,243
terminal_stock,42,100000,168.46421258027533,171.8596062624847,186
terminal_stock,42,100000,171.8596062624847,175.25499994469408,128
terminal_stock,42,100000,175.25499994469408,178.6503936269035,111
terminal_stock,42,100000,178.6503936269035,182.04578730911288,74
terminal_stock,42,100000,182.04578730911288,185.44118099132226,59
terminal_stock,42,100000,185.44118099132226,188.83657467353163,39
terminal_stock,42,100000,188.83657467353163,192.231968355741,42
terminal_stock,42,100000,192.231968355741,195.62736203795038,22
terminal_stock,42,100000,195.62736203795038,199.0227557201598,15
terminal_stock,42,100000,199.0227557201598,202.41814940236918,10
terminal_stock,42,100000,202.41814940236918,205.81354308457855,6
terminal_stock,42,100000,205.81354308457855,209.20893676678793,8
terminal_stock,42,100000,209.20893676678793,212.6043304489973,3
terminal_stock,42,100000,212.6043304489973,215.99972413120673,6
terminal_stock,42,100000,215.99972413120673,219.3951178134161,4
terminal_stock,42,100000,219.3951178134161,222.79051149562548,0
terminal_stock,42,100000,222.79051149562548,226.18590517783485,3
terminal_stock,42,100000,226.18590517783485,229.58129886004423,0
terminal_stock,42,100000,229.58129886004423,232.9766925422536,2
terminal_stock,42,100000,232.9766925422536,236.37208622446303,2
terminal_stock,42,100000,236.37208622446303,239.7674799066724,2
terminal_stock,42,100000,239.7674799066724,243.16287358888178,0
terminal_stock,42,100000,243.16287358888178,246.55826727109115,1
terminal_stock,42,100000,246.55826727109115,249.95366095330053,0
terminal_stock,42,100000,249.95366095330053,253.3490546355099,0
terminal_stock,42,100000,253.3490546355099,256.74444831771933,1
terminal_stock,42,100000,256.74444831771933,260.1398419999287,0
terminal_stock,42,100000,260.1398419999287,263.5352356821381,0
terminal_stock,42,100000,263.5352356821381,266.93062936434745,0
terminal_stock,42,100000,266.93062936434745,270.3260230465568,0
terminal_stock,42,100000,270.3260230465568,273.7214167287662,0
terminal_stock,42,100000,273.7214167287662,277.11681041097563,0
terminal_stock,42,100000,277.11681041097563,280.512204093185,1
call_payoff,42,100000,0.0,2.578745772759786,49432
call_payoff,42,100000,2.578745772759786,5.157491545519572,5036
call_payoff,42,100000,5.157491545519572,7.736237318279358,4620
call_payoff,42,100000,7.736237318279358,10.314983091039144,4476
call_payoff,42,100000,10.314983091039144,12.89372886379893,4305
call_payoff,42,100000,12.89372886379893,15.472474636558715,3948
call_payoff,42,100000,15.472474636558715,18.051220409318503,3511
call_payoff,42,100000,18.051220409318503,20.629966182078288,3148
call_payoff,42,100000,20.629966182078288,23.208711954838073,2950
call_payoff,42,100000,23.208711954838073,25.78745772759786,2676
call_payoff,42,100000,25.78745772759786,28.366203500357646,2318
call_payoff,42,100000,28.366203500357646,30.94494927311743,2012
call_payoff,42,100000,30.94494927311743,33.52369504587722,1793
call_payoff,42,100000,33.52369504587722,36.10244081863701,1496
call_payoff,42,100000,36.10244081863701,38.68118659139679,1385
call_payoff,42,100000,38.68118659139679,41.259932364156576,1149
call_payoff,42,100000,41.259932364156576,43.838678136916364,925
call_payoff,42,100000,43.838678136916364,46.417423909676145,768
call_payoff,42,100000,46.417423909676145,48.996169682435934,702
call_payoff,42,100000,48.996169682435934,51.57491545519572,607
call_payoff,42,100000,51.57491545519572,54.1536612279555,500
call_payoff,42,100000,54.1536612279555,56.73240700071529,401
call_payoff,42,100000,56.73240700071529,59.31115277347508,340
call_payoff,42,100000,59.31115277347508,61.88989854623486,266
call_payoff,42,100000,61.88989854623486,64.46864431899465,224
call_payoff,42,100000,64.46864431899465,67.04739009175444,191
call_payoff,42,100000,67.04739009175444,69.62613586451423,158
call_payoff,42,100000,69.62613586451423,72.20488163727401,137
call_payoff,42,100000,72.20488163727401,74.78362741003379,105
call_payoff,42,100000,74.78362741003379,77.36237318279358,86
call_payoff,42,100000,77.36237318279358,79.94111895555336,68
call_payoff,42,100000,79.94111895555336,82.51986472831315,47
call_payoff,42,100000,82.51986472831315,85.09861050107294,53
call_payoff,42,100000,85.09861050107294,87.67735627383273,28
call_payoff,42,100000,87.67735627383273,90.25610204659252,27
call_payoff,42,100000,90.25610204659252,92.83484781935229,28
call_payoff,42,100000,92.83484781935229,95.41359359211208,18
call_payoff,42,100000,95.41359359211208,97.99233936487187,12
call_payoff,42,100000,97.99233936487187,100.57108513763166,12
call_payoff,42,100000,100.57108513763166,103.14983091039144,4
call_payoff,42,100000,103.14983091039144,105.72857668315123,5
call_payoff,42,100000,105.72857668315123,108.307322455911,8
call_payoff,42,100000,108.307322455911,110.8860682286708,1
call_payoff,42,100000,110.8860682286708,113.46481400143058,5
call_payoff,42,100000,113.46481400143058,116.04355977419037,3
call_payoff,42,100000,116.04355977419037,118.62230554695016,4
call_payoff,42,100000,118.62230554695016,121.20105131970995,0
call_payoff,42,100000,121.20105131970995,123.77979709246972,2
call_payoff,42,100000,123.77979709246972,126.35854286522951,1
call_payoff,42,100000,126.35854286522951,128.9372886379893,0
call_payoff,42,100000,128.9372886379893,131.51603441074909,2
call_payoff,42,100000,131.51603441074909,134.09478018350887,2
call_payoff,42,100000,134.09478018350887,136.67352595626866,1
call_payoff,42,100000,136.67352595626866,139.25227172902845,1
call_payoff,42,100000,139.25227172902845,141.83101750178824,0
call_payoff,42,100000,141.83101750178824,144.40976327454803,0
call_payoff,42,100000,144.40976327454803,146.98850904730782,1
call_payoff,42,100000,146.98850904730782,149.56725482006757,0
call_payoff,42,100000,149.56725482006757,152.14600059282736,0
call_payoff,42,100000,152.14600059282736,154.72474636558715,1
call_payoff,42,100000,154.72474636558715,157.30349213834694,0
call_payoff,42,100000,157.30349213834694,159.88223791110673,0
call_payoff,42,100000,159.88223791110673,162.46098368386652,0
call_payoff,42,100000,162.46098368386652,165.0397294566263,0
call_payoff,42,100000,165.0397294566263,167.6184752293861,0
call_payoff,42,100000,167.6184752293861,170.19722100214588,0
call_payoff,42,100000,170.19722100214588,172.77596677490567,0
call_payoff,42,100000,172.77596677490567,175.35471254766546,0
call_payoff,42,100000,175.35471254766546,177.93345832042525,0
call_payoff,42,100000,177.93345832042525,180.512204093185,1
put_payoff,42,100000,0.0,0.816647909449598,57380
put_payoff,42,100000,0.816647909449598,1.633295818899196,1620
put_payoff,42,100000,1.633295818899196,2.449943728348794,1716
put_payoff,42,100000,2.449943728348794,3.266591637798392,1603
put_payoff,42,100000,3.266591637798392,4.08323954724799,1570
put_payoff,42,100000,4.08323954724799,4.899887456697588,1540
put_payoff,42,100000,4.899887456697588,5.716535366147186,1639
put_payoff,42,100000,5.716535366147186,6.533183275596784,1483
put_payoff,42,100000,6.533183275596784,7.349831185046382,1551
put_payoff,42,100000,7.349831185046382,8.16647909449598,1555
put_payoff,42,100000,8.16647909449598,8.983127003945578,1412
put_payoff,42,100000,8.983127003945578,9.799774913395176,1488
put_payoff,42,100000,9.799774913395176,10.616422822844774,1433
put_payoff,42,100000,10.616422822844774,11.433070732294372,1400
put_payoff,42,100000,11.433070732294372,12.24971864174397,1432
put_payoff,42,100000,12.24971864174397,13.066366551193568,1366
put_payoff,42,100000,13.066366551193568,13.883014460643166,1277
put_payoff,42,100000,13.883014460643166,14.699662370092764,1210
put_payoff,42,100000,14.699662370092764,15.516310279542362,1188
put_payoff,42,100000,15.516310279542362,16.33295818899196,1171
put_payoff,42,100000,16.33295818899196,17.14960609844156,1077
put_payoff,42,100000,17.14960609844156,17.966254007891155,1082
put_payoff,42,100000,17.966254007891155,18.78290191734075,967
put_payoff,42,100000,18.78290191734075,19.59954982679035,951
put_payoff,42,100000,19.59954982679035,20.41619773623995,919
put_payoff,42,100000,20.41619773623995,21.232845645689547,909
put_payoff,42,100000,21.232845645689547,22.049493555139144,795
put_payoff,42,100000,22.049493555139144,22.866141464588743,753
put_payoff,42,100000,22.866141464588743,23.682789374038343,697
put_payoff,42,100000,23.682789374038343,24.49943728348794,642
put_payoff,42,100000,24.49943728348794,25.316085192937535,653
put_payoff,42,100000,25.316085192937535,26.132733102387135,573
put_payoff,42,100000,26.132733102387135,26.949381011836735,596
put_payoff,42,100000,26.949381011836735,27.76602892128633,535
put_payoff,42,100000,27.76602892128633,28.582676830735927,445
put_payoff,42,100000,28.582676830735927,29.399324740185527,410
put_payoff,42,100000,29.399324740185527,30.215972649635127,366
put_payoff,42,100000,30.215972649635127,31.032620559084723,327
put_payoff,42,100000,31.032620559084723,31.84926846853432,289
put_payoff,42,100000,31.84926846853432,32.66591637798392,258
put_payoff,42,100000,32.66591637798392,33.48256428743352,264
put_payoff,42,100000,33.48256428743352,34.29921219688312,201
put_payoff,42,100000,34.29921219688312,35.11586010633271,174
put_payoff,42,100000,35.11586010633271,35.93250801578231,165
put_payoff,42,100000,35.93250801578231,36.74915592523191,148
put_payoff,42,100000,36.74915592523191,37.5658038346815,127
put_payoff,42,100000,37.5658038346815,38.3824517441311,109
put_payoff,42,100000,38.3824517441311,39.1990996535807,89
put_payoff,42,100000,39.1990996535807,40.0157475630303,76
put_payoff,42,100000,40.0157475630303,40.8323954724799,74
put_payoff,42,100000,40.8323954724799,41.649043381929495,50
put_payoff,42,100000,41.649043381929495,42.465691291379095,46
put_payoff,42,100000,42.465691291379095,43.282339200828694,33
put_payoff,42,100000,43.282339200828694,44.09898711027829,36
put_payoff,42,100000,44.09898711027829,44.91563501972789,28
put_payoff,42,100000,44.91563501972789,45.73228292917749,26
put_payoff,42,100000,45.73228292917749,46.548930838627086,17
put_payoff,42,100000,46.548930838627086,47.365578748076686,8
put_payoff,42,100000,47.365578748076686,48.18222665752628,20
put_payoff,42,100000,48.18222665752628,48.99887456697588,13
put_payoff,42,100000,48.99887456697588,49.81552247642548,7
put_payoff,42,100000,49.81552247642548,50.63217038587507,2
put_payoff,42,100000,50.63217038587507,51.44881829532467,1
put_payoff,42,100000,51.44881829532467,52.26546620477427,3
put_payoff,42,100000,52.26546620477427,53.08211411422387,3
put_payoff,42,100000,53.08211411422387,53.89876202367347,0
put_payoff,42,100000,53.89876202367347,54.71540993312306,0
put_payoff,42,100000,54.71540993312306,55.53205784257266,0
put_payoff,42,100000,55.53205784257266,56.34870575202226,1
put_payoff,42,100000,56.34870575202226,57.165353661471855,1
