option_type,method,n_paths,analytical_price,mean_price,bias,rmse,empirical_std,empirical_vrr,median_runtime_seconds,coverage_rate,rmse_convergence_slope
call,standard,100000.0,10.450583572185565,10.448868436754188,-0.001715135431377135,0.04876947454070616,0.04957251696978142,1.0,0.001986150000448106,0.9333333333333333,-0.47074066486397786
call,antithetic,100000.0,10.450583572185565,10.450471720241293,-0.00011185194427199008,0.040251064532588914,0.04093900869480067,1.4662475366745975,0.0011969500010309275,0.8333333333333334,-0.45571240511397304
call,control_variate,100000.0,10.450583572185565,10.44868459624991,-0.0018989759356546898,0.0133388393687101,0.013428682353778214,13.62746697425132,0.0032119500010594493,0.9666666666666667,-0.4906477226914035
call,stratified,100000.0,10.450583572185565,10.44991981553684,-0.000663756648725311,0.012530133581383216,0.012726445775678743,15.1728679229423,0.005013250000047265,0.9666666666666667,-0.49540392519454096
call,sobol,100000.0,10.450583572185565,10.450442073038484,-0.00014149914708028177,0.0007391853971172825,0.0007379185844404928,4512.996990311519,0.005038700001023244,0.9,-0.9366655303777935
call,halton,100000.0,10.450583572185565,10.450135430589,-0.00044814159656425545,0.0018963519210201728,0.0018741397247946123,699.645439864052,0.028238700000656536,0.9,-0.8815908742388838
put,standard,100000.0,5.573526022256971,5.571609922157224,-0.0019161000997467426,0.02223541571165817,0.022531409622967152,1.0,0.003359700000146404,1.0,-0.4913136242218286
put,antithetic,100000.0,5.573526022256971,5.5737667269725195,0.0002407047155488229,0.024257711754917685,0.02467118885408054,0.8340586116284813,0.002115600000252016,0.8666666666666667,-0.4652757979305742
put,control_variate,100000.0,5.573526022256971,5.571627046321312,-0.0018989759356591307,0.01333883936871099,0.013428682353778476,2.8152043460734624,0.005367050000131712,0.9666666666666667,-0.4906477226913975
put,stratified,100000.0,5.573526022256971,5.572372935478248,-0.0011530867787223897,0.006544649330499932,0.00655240090821819,11.82430987598055,0.008806199999526143,0.9666666666666667,-0.4863190933200747
put,sobol,100000.0,5.573526022256971,5.57335566313799,-0.00017035911898055645,0.00030483964944676313,0.00025711593210013664,7679.24899475679,0.010122350000528968,0.9333333333333333,-0.9666215937520628
put,halton,100000.0,5.573526022256971,5.573654509374109,0.00012848711713786543,0.0008573144242087464,0.00086212193074331,683.0293102524195,0.03316995000022871,0.8666666666666667,-0.9112051902656785
