option_type,method,n_paths,seed,analytical_price,mc_price,std_error,ci_lower,ci_upper,absolute_error,relative_error,runtime_seconds
call,standard,100,42,10.450583572185565,7.825768446590422,1.0119624244907222,5.842358540880772,9.809178352300071,2.624815125595143,0.25116445483304306,0.00022989999979472486
call,standard,200,42,10.450583572185565,8.979339888303265,0.9349946116187668,7.146784123791466,10.811895652815064,1.4712436838822995,0.1407810074643146,0.00012440000000424334
call,standard,500,42,10.450583572185565,9.868362604870436,0.635871134653609,8.622078082140742,11.11464712760013,0.5822209673151288,0.05571181391867163,0.00011029999996026163
call,standard,1000,42,10.450583572185565,9.911979607280376,0.44834528158060327,9.033239002743924,10.790720211816828,0.5386039649051888,0.051538171163828014,0.00011169999970661593
call,standard,2000,42,10.450583572185565,9.732903950284037,0.31504536466898847,9.115426382036532,10.350381518531542,0.717679621901528,0.06867364075357921,0.00022480000006908085
call,standard,5000,42,10.450583572185565,10.168919879680969,0.2058605705079029,9.765440575648611,10.572399183713326,0.2816636925045959,0.026951958286257755,0.00026789999992615776
call,standard,10000,42,10.450583572185565,10.345182037175292,0.14766265737953482,10.055768546849926,10.634595527500657,0.10540153501027305,0.010085708064265552,0.00025439999990339857
call,standard,20000,42,10.450583572185565,10.544516782463658,0.10517864244043415,10.33837043133759,10.750663133589725,0.09393321027809343,0.0089883220041509,0.000392800000099669
call,standard,50000,42,10.450583572185565,10.457691538845074,0.06614343789976031,10.328052782747882,10.587330294942266,0.007107966659509302,0.0006801502146183775,0.0007823000000826141
call,standard,100000,42,10.450583572185565,10.420541193153113,0.04676990252081818,10.32887386865186,10.512208517654367,0.03004237903245155,0.002874708271068224,0.0018981000002895598
call,antithetic,100,42,10.450583572185565,8.286817851414048,0.7333986349535333,6.849382940594284,9.724252762233812,2.163765720771517,0.2070473582480525,0.0002571999998508545
call,antithetic,200,42,10.450583572185565,8.423881854258864,0.5061388658036523,7.431867906107755,9.415895802409974,2.0267017179267004,0.19393191814864838,0.00020839999979216373
call,antithetic,500,42,10.450583572185565,9.843097325352076,0.4331043351533109,8.994228426903423,10.69196622380073,0.6074862468334885,0.05812940900739028,0.00022409999974115635
call,antithetic,1000,42,10.450583572185565,10.000397780292886,0.3136013632022141,9.385750402913882,10.61504515767189,0.4501857918926788,0.04307757445152223,0.0003004000000146334
call,antithetic,2000,42,10.450583572185565,10.267249403746487,0.23377928570972992,9.809050423423917,10.725448384069056,0.18333416843907813,0.01754295989049125,0.0001947999999174499
call,antithetic,5000,42,10.450583572185565,10.450949458024727,0.15046797777389664,10.156037640761316,10.745861275288139,0.00036588583916241646,3.501104379818835e-05,0.0002380000000812288
call,antithetic,10000,42,10.450583572185565,10.41005171045023,0.10487194751735943,10.20450647032763,10.61559695057283,0.040531861735335184,0.0038784304680564955,0.00024819999998726416
call,antithetic,20000,42,10.450583572185565,10.480590085144362,0.0748194536284193,10.333946650689695,10.627233519599029,0.030006512958797416,0.002871276302565566,0.0004131999999117397
call,antithetic,50000,42,10.450583572185565,10.454935334707708,0.04674898270006051,10.363309012301704,10.546561657113712,0.004351762522142977,0.00041641335070754127,0.0006969999999455467
call,antithetic,100000,42,10.450583572185565,10.467314163207845,0.03307688091107498,10.402484667901218,10.532143658514473,0.016730591022280805,0.0016009240925846098,0.001429299999927025
